index,time,coverage,leg,cog,sog,true_wind_dir
0,2023-11-18 16:44:00,0.0,0,272.9611594202898,8.53913043478261,335.2857142857143
1,2023-11-18 16:48:45,0.0,1,314.31813953488376,8.297674418604652,319.6
2,2023-11-18 16:53:21,0.0,2,265.97693069306933,8.650495049504952,325.0
3,2023-11-18 16:56:55,0.0,3,49.75502109704642,9.30590717299578,314.75
4,2023-11-18 17:00:47,0.0,4,82.0925641025641,9.066666666666666,334.75
5,2023-11-18 17:04:51,0.0,5,130.10418181818181,9.102727272727272,326.5
6,2023-11-18 17:08:44,0.0,6,175.162037037037,9.19537037037037,296.5
7,2023-11-18 17:12:33,0.0,7,223.32934959349595,8.412601626016261,274.25
8,2023-11-18 17:16:55,0.0,0,267.96025641025653,7.463247863247863,310.0
9,2023-11-18 17:21:01,0.0,1,317.4049583333334,5.995000000000001,306.0
10,2023-11-18 17:24:59,0.0,2,342.49089743589747,6.586666666666667,294.2
11,2023-11-18 17:29:51,0.0,3,58.87257425742574,7.381188118811881,289.75
12,2023-11-18 17:33:22,0.0,4,84.67060606060609,8.027272727272727,293.0
13,2023-11-18 17:36:49,0.0,5,133.61938053097347,7.353982300884955,296.0
14,2023-11-18 17:40:47,0.0,6,178.26474576271193,6.783050847457628,295.75
15,2023-11-18 17:44:52,0.0,7,219.43443925233646,6.305140186915889,299.3333333333333
16,2023-11-18 17:47:56,0.0,0,260.31696721311476,6.724590163934426,309.6
17,2023-11-18 17:52:11,0.0,1,312.4777876106195,4.827433628318584,309.5
18,2023-11-18 17:56:07,0.0,2,278.98041666666666,5.547916666666667,297.25
19,2023-11-18 18:00:06,0.0,3,61.2391304347826,6.422826086956522,295.6666666666667
20,2023-11-18 18:03:18,0.0,4,86.16926315789472,5.449473684210526,288.6666666666667
21,2023-11-18 18:06:35,0.0,5,132.72504166666667,5.229166666666667,286.75
22,2023-11-18 18:10:34,0.0,6,177.73805555555555,5.009259259259259,282.5
23,2023-11-18 18:14:18,0.0,7,218.99660377358492,4.710377358490566,285.5
24,2023-11-18 18:18:00,0.0,0,262.62726315789473,4.657894736842105,292.75
25,2023-11-18 18:21:19,0.0,1,308.6026136363637,3.9511363636363637,277.0
26,2023-11-18 18:24:21,0.0,2,99.64045871559634,3.5256880733944955,260.5
27,2023-11-18 18:28:10,0.0,3,42.59125,4.001041666666667,278.6666666666667
28,2023-11-18 18:30:10,0.0,4,42.59125,4.001041666666667,278.6666666666667
29,2023-11-18 18:31:35,0.0,5,112.01455357142858,4.5857142857142845,271.25
30,2023-11-18 18:35:31,0.0,6,174.12499999999997,4.330357142857143,262.3333333333333
31,2023-11-18 18:38:57,0.0,7,217.87460674157307,3.803370786516854,271.5
