index,time,coverage,leg,cog,sog,true_wind_dir
0,2023-11-18 16:44:00,0.0,0,272.9905035971222,8.541007194244603,335.2857142857143
1,2023-11-18 16:48:48,0.0,1,314.6916923076923,8.289230769230768,319.6
2,2023-11-18 16:53:26,0.0,2,266.67099009900994,8.666336633663368,323.25
3,2023-11-18 16:57:00,0.0,3,47.14703389830509,9.307203389830509,314.75
4,2023-11-18 17:00:48,0.0,4,82.49188034188036,9.064957264957265,334.75
5,2023-11-18 17:04:53,0.0,5,130.5197272727273,9.104545454545455,326.5
6,2023-11-18 17:08:46,0.0,6,175.57481481481483,9.197222222222223,296.5
7,2023-11-18 17:12:36,0.0,7,223.74943089430897,8.404471544715445,274.25
8,2023-11-18 17:16:57,0.0,0,267.01796116504863,7.466990291262138,305.25
9,2023-11-18 17:20:33,0.0,1,315.3806666666667,6.067058823529413,308.0
10,2023-11-18 17:25:02,0.0,2,342.66571794871805,6.587435897435898,294.5
11,2023-11-18 17:29:54,0.0,3,52.906,7.399,289.75
12,2023-11-18 17:33:25,0.0,4,85.34356435643566,8.033663366336633,293.0
13,2023-11-18 17:36:55,0.0,5,134.78315315315314,7.327027027027025,296.0
14,2023-11-18 17:40:48,0.0,6,178.61372881355936,6.786440677966102,295.75
15,2023-11-18 17:44:54,0.0,7,221.12739837398377,6.379268292682927,303.8
16,2023-11-18 17:49:07,0.0,0,277.17972972972973,6.400000000000001,309.0
17,2023-11-18 17:52:58,0.0,1,316.6867961165048,4.705825242718446,309.5
18,2023-11-18 17:56:32,0.0,2,277.28352173913044,5.593478260869566,297.25
19,2023-11-18 18:00:11,0.0,3,55.096990291262145,6.3873786407766975,295.6666666666667
20,2023-11-18 18:03:46,0.0,4,93.49533980582527,5.321359223300971,290.75
21,2023-11-18 18:07:19,0.0,5,135.89499999999998,5.230973451327433,283.3333333333333
22,2023-11-18 18:10:49,0.0,6,180.0970588235294,4.990196078431373,282.5
23,2023-11-18 18:14:21,0.0,7,219.40820754716978,4.709433962264151,285.5
24,2023-11-18 18:18:02,0.0,0,265.0206542056075,4.6271028037383175,296.6666666666667
25,2023-11-18 18:21:46,0.0,1,321.1498058252425,3.7990291262135925,271.25
26,2023-11-18 18:25:20,0.0,2,17.797549019607843,3.5480392156862743,262.6666666666667
27,2023-11-18 18:28:55,0.0,3,57.25766990291262,4.154368932038834,277.5
28,2023-11-18 18:32:33,0.0,4,125.96353535353535,4.663636363636363,268.0
29,2023-11-18 18:36:03,0.0,5,177.8890265486726,4.287168141592921,265.3333333333333
30,2023-11-18 18:39:33,0.0,6,217.4092,3.9020000000000006,270.75
