index,time,coverage,leg,cog,sog,true_wind_dir
0,2023-11-18 09:51:05,0.0,0,269.4722477565497,4.066016949152542,4.769574468085107
1,2023-11-18 09:55:00,0.0,1,315.55682048027626,4.19024358974359,4.50574074074074
2,2023-11-18 09:59:32,0.0,2,290.2405021054714,4.362296680497925,4.80625
3,2023-11-18 10:03:32,0.0,3,41.68499183623388,4.541792156862745,5.51313725490196
4,2023-11-18 10:07:46,0.0,4,86.74005128139612,4.631805220883534,5.420599999999999
5,2023-11-18 10:11:54,0.0,5,132.15084603747715,4.481181451612904,5.406000000000001
6,2023-11-18 10:16:01,0.0,6,178.2774078197999,4.376482758620689,5.700769230769231
7,2023-11-18 10:20:21,0.0,7,222.69141886899763,4.1329347014925375,5.493207547169813
8,2023-11-18 10:24:48,0.0,0,267.4872088426542,3.8045021097046408,5.640000000000001
9,2023-11-18 10:28:44,0.0,1,312.63524335465814,3.603794605809128,4.653673469387755
10,2023-11-18 10:32:44,0.0,2,350.17354346501816,3.617878661087866,5.960833333333333
11,2023-11-18 10:36:42,0.0,3,33.95284664488335,3.6177169421487605,5.951666666666667
12,2023-11-18 10:40:43,0.0,4,79.09395272865761,3.610252016129032,5.692199999999999
13,2023-11-18 10:44:50,0.0,5,124.3247189004704,3.5918634453781504,5.626595744680851
14,2023-11-18 10:48:47,0.0,6,168.6777597615291,3.5885,5.7536734693877545
15,2023-11-18 10:52:52,0.0,7,213.14479880018496,3.5986958333333336,5.068333333333333
16,2023-11-18 10:56:51,0.0,0,257.1177455044676,3.0247533632286996,5.5911363636363625
17,2023-11-18 11:00:33,0.0,1,303.0640789707724,2.5630553191489365,2.949787234042553
18,2023-11-18 11:04:27,0.0,2,333.88191728923255,2.5771744186046512,5.21576923076923
19,2023-11-18 11:08:44,0.0,3,24.218675375780293,2.570736,5.182
20,2023-11-18 11:12:53,0.0,4,59.08261790734724,2.5719177489177487,5.44
21,2023-11-18 11:16:43,0.0,5,101.87963030313244,2.5713585657370515,5.713800000000001
22,2023-11-18 11:20:53,0.0,6,147.93871769822738,2.5712350427350428,5.503404255319149
23,2023-11-18 11:24:46,0.0,7,192.27807346187626,1.961833333333333,5.414264705882353
24,2023-11-18 11:30:27,0.0,0,238.24263817849845,1.5279920948616599,5.4805882352941175
25,2023-11-18 11:34:39,0.0,1,285.7396402496144,1.5170549450549449,4.812
26,2023-11-18 11:39:11,0.0,2,293.6785690236711,1.5462270916334662,5.667999999999999
27,2023-11-18 11:43:21,0.0,3,309.28612797609424,1.5415022421524665,5.820000000000001
28,2023-11-18 11:47:03,0.0,4,349.9527020918107,1.5534845814977973,5.847173913043478
29,2023-11-18 11:50:49,0.0,5,35.89541707451669,1.5451074074074074,5.832407407407407
30,2023-11-18 11:55:18,0.0,6,83.34801818021774,1.5190809716599192,5.812400000000001
31,2023-11-18 11:59:24,0.0,7,127.654571262409,1.5287120622568093,5.144038461538462
32,2023-11-18 12:03:40,1.0,0,173.13725807191372,3.955473776223776,5.774035087719299
33,2023-11-18 12:08:25,1.0,1,218.48721004080306,4.110534926470588,5.572962962962963
34,2023-11-18 12:12:56,1.0,2,262.792109705644,4.197482824427481,5.4350000000000005
35,2023-11-18 12:17:17,1.0,3,306.65393237514996,4.4170134615384615,5.585961538461539
36,2023-11-18 12:21:36,1.0,4,351.03765348741916,4.604203947368421,5.179555555555554
37,2023-11-18 12:25:23,1.0,5,36.85941937228451,4.628468871595331,5.263076923076923
38,2023-11-18 12:29:39,1.0,6,83.01608969011559,4.463025793650794,5.269803921568627
39,2023-11-18 12:33:50,1.0,7,127.40513926047521,4.208505639097744,5.197924528301887
40,2023-11-18 12:38:15,1.0,0,168.77215122324938,3.8317030567685584,5.666
41,2023-11-18 12:42:03,1.0,1,216.19876498304893,3.6077261904761904,5.488235294117648
42,2023-11-18 12:46:14,1.0,2,260.26156516724876,3.625551867219918,5.548775510204082
43,2023-11-18 12:50:14,1.0,3,305.4637266372881,3.6164958847736624,5.372244897959183
44,2023-11-18 12:54:16,1.0,4,349.7212652289399,3.6093630705394184,5.234375
45,2023-11-18 12:58:16,1.0,5,35.8197213676073,3.6036963562753033,5.2306122448979595
46,2023-11-18 13:02:22,1.0,6,80.14578085308116,3.600010245901639,5.444897959183674
47,2023-11-18 13:06:25,1.0,7,125.28570539124397,3.578409465020576,5.136666666666667
48,2023-11-18 13:10:27,1.0,0,168.99626581988397,3.5685580110497233,5.565555555555556
49,2023-11-18 13:13:27,1.0,1,216.14984035120142,2.486540322580645,5.4976
50,2023-11-18 13:17:34,1.0,2,239.96874583852102,2.5734028925619836,5.489795918367348
51,2023-11-18 13:21:35,1.0,3,278.4764108314992,2.5791659836065572,5.807083333333334
52,2023-11-18 13:25:38,1.0,4,322.071335135851,2.581106995884774,5.795510204081633
53,2023-11-18 13:29:40,1.0,5,23.481526596377442,2.5683373493975905,5.79795918367347
54,2023-11-18 13:33:48,1.0,6,51.111670750484436,2.5690711206896553,5.839361702127659
55,2023-11-18 13:37:39,1.0,7,94.75711966143433,2.560977900552486,5.918108108108108
56,2023-11-18 13:40:39,1.0,0,128.4635825862196,2.543955823293173,5.714600000000001
57,2023-11-18 13:44:47,1.0,1,205.44300416732477,1.47828870292887,5.684166666666667
58,2023-11-18 13:48:45,1.0,2,225.02079030229015,1.5433711656441715,5.896461538461539
59,2023-11-18 13:54:10,1.0,3,227.06707648490493,1.522625668449198,5.869189189189187
60,2023-11-18 13:57:16,1.0,4,280.52319616671736,1.5716291666666666,5.712500000000001
