"Ship:","4174","","Survey:","2023001016","","Date:","21.11.2023"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","6204.095","7000.780974 N","02033.361983 E","","246.50","7.0","6.8","9.7","198","-0.1","1020.5","68","","","","","","","","","","","","","",""
"  -->","00:01:00","","","6204.212","7000.741439 N","02033.044023 E","","248.51","7.0","6.8","10.5","197","-0.2","1020.5","66","","","","","","","","","","","","","",""
"  -->","00:02:00","","","6204.329","7000.706409 N","02032.721073 E","","249.17","7.0","6.8","11.0","183","-0.2","1020.5","65","","","","","","","","","","","","","",""
"  -->","00:03:00","","","6204.446","7000.671704 N","02032.398241 E","","249.38","7.0","6.8","11.7","188","-0.3","1020.6","62","","","","","","","","","","","","","",""
"  -->","00:04:00","","","6204.562","7000.637090 N","02032.075844 E","","249.48","7.0","6.8","11.3","182","-0.2","1020.6","62","","","","","","","","","","","","","",""
"  -->","00:05:00","","","6204.679","7000.602690 N","02031.752948 E","","249.17","7.0","6.7","11.1","177","-0.1","1020.6","62","","","","","","","","","","","","","",""
"  -->","00:06:00","","","6204.796","7000.568263 N","02031.429481 E","","249.45","7.0","6.7","11.7","191","-0.2","1020.7","60","","","","","","","","","","","","","",""
"  -->","00:07:00","","","6204.913","7000.533735 N","02031.106442 E","","249.58","7.0","6.7","10.7","188","0.2","1020.7","63","","","","","","","","","","","","","",""
"  -->","00:08:00","","","6205.030","7000.499343 N","02030.783139 E","","249.63","7.0","6.7","11.9","185","0.2","1020.6","65","","","","","","","","","","","","","",""
"  -->","00:09:00","","","6205.145","7000.465091 N","02030.460395 E","","249.95","6.9","6.7","10.6","196","0.0","1020.6","64","","","","","","","","","","","","","",""
"  -->","00:10:00","","","6205.261","7000.431339 N","02030.138434 E","","249.23","6.9","6.7","11.3","199","0.0","1020.6","61","","","","","","","","","","","","","",""
"  -->","00:11:00","","","6205.375","7000.397827 N","02029.817558 E","","249.31","6.9","6.7","12.8","186","0.1","1020.6","61","","","","","","","","","","","","","",""
"  -->","00:12:00","","","6205.492","7000.363611 N","02029.494318 E","","249.65","7.0","6.7","8.3","208","0.2","1020.6","60","","","","","","","","","","","","","",""
"  -->","00:13:00","","","6205.610","7000.329098 N","02029.168526 E","","249.57","7.0","6.7","10.4","196","0.3","1020.6","62","","","","","","","","","","","","","",""
"  -->","00:14:00","","","6205.727","7000.295151 N","02028.841924 E","","249.26","7.0","6.7","11.1","197","-0.1","1020.6","62","","","","","","","","","","","","","",""
"  -->","00:15:00","","","6205.843","7000.268418 N","02028.508075 E","","259.84","7.2","6.7","10.5","190","0.0","1020.6","63","","","","","","","","","","","","","",""
